PROJNUM,Total_Terrain_Types,Terrain_Type_List
19980960,2,"instream, riparian"
19980969,2,"riparian, upland"
19980970,3,"instream, riparian, road"
19980971,3,"instream, riparian, upland"
19980972,2,"instream, riparian"
19980973,2,"riparian, upland"
19980974,2,"instream, riparian"
19980976,2,"riparian, upland"
19980979,2,"riparian, passage"
19980980,2,"riparian, passage"
19980984,2,"riparian, passage"
19981013,2,"instream, riparian"
19981016,2,"instream, riparian"
19981046,2,"instream, passage"
19981079,2,"passage, road"
19981080,2,"instream, passage"
19981081,2,"riparian, wetland"
19981083,2,"riparian, wetland"
19981086,2,"riparian, upland"
19981088,3,"instream, riparian, upland"
19981093,2,"passage, upland"
19981096,2,"riparian, passage"
19981099,2,"riparian, passage"
19981101,2,"instream, riparian"
19981102,2,"instream, riparian"
19981110,2,"riparian, upland"
19981111,2,"passage, screening"
19981115,2,"instream, riparian"
19981116,2,"riparian, passage"
19981154,2,"riparian, upland"
19981155,2,"riparian, upland"
19981157,2,"riparian, upland"
19981158,2,"riparian, upland"
19990015,2,"passage, road"
19990016,2,"passage, road"
19990018,2,"passage, road"
19990038,2,"instream, passage"
19990042,3,"instream, passage, wetland"
19990044,3,"instream, passage, road"
19990045,2,"instream, passage"
19990046,2,"instream, passage"
19990053,2,"riparian, road"
19990054,2,"riparian, road"
19990055,2,"riparian, road"
19990056,2,"riparian, road"
19990057,2,"riparian, road"
19990058,2,"riparian, road"
19990138,2,"instream, riparian"
19990139,2,"instream, riparian"
19990166,2,"instream, riparian"
19990171,2,"instream, riparian"
19990173,3,"riparian, passage, upland"
19990236,3,"instream, riparian, passage"
19990242,2,"instream, riparian"
19990246,2,"instream, passage"
19990248,2,"instream, road"
19990349,2,"instream, road"
19990369,2,"passage, road"
19990377,2,"instream, passage"
19990490,2,"riparian, road"
19990517,2,"riparian, passage"
19990518,2,"instream, riparian"
19990519,2,"passage, upland"
19990520,3,"instream, road, wetland"
19990523,2,"passage, road"
19990543,2,"passage, road"
19990544,2,"passage, road"
19990547,2,"passage, road"
19990548,2,"passage, road"
19990549,2,"passage, road"
19990550,2,"passage, road"
19990588,2,"instream, road"
19990593,2,"riparian, road"
19990594,2,"passage, road"
19990595,2,"passage, road"
19990596,2,"passage, road"
19990597,2,"passage, road"
19990621,2,"passage, road"
19990627,2,"passage, road"
19990628,2,"passage, road"
19990632,4,"instream, passage, upland, flow"
19990648,2,"riparian, road"
19990650,3,"riparian, passage, road"
19990651,2,"riparian, road"
19990652,3,"riparian, passage, road"
19990653,2,"riparian, road"
19990660,2,"riparian, road"
19990664,2,"passage, road"
19990681,2,"passage, road"
19990686,2,"passage, road"
19990694,2,"instream, riparian"
19990699,2,"instream, riparian"
19990700,2,"riparian, wetland"
19990704,2,"instream, riparian"
19990707,2,"instream, riparian"
19990708,2,"riparian, wetland"
19990717,3,"instream, riparian, upland"
19990719,2,"instream, riparian"
19990720,2,"riparian, upland"
19990721,2,"instream, riparian"
19990723,2,"instream, riparian"
19990725,2,"instream, riparian"
19990726,2,"instream, riparian"
19990727,2,"instream, riparian"
19990728,2,"instream, riparian"
19990729,2,"instream, riparian"
19990734,2,"passage, road"
19990767,2,"passage, road"
19990774,2,"passage, road"
19990776,2,"passage, road"
19990778,2,"passage, road"
19990784,2,"passage, road"
19990785,2,"passage, road"
19990804,2,"riparian, upland"
19990810,2,"passage, road"
19990811,3,"instream, passage, road"
19990828,2,"passage, road"
19990829,2,"passage, road"
19990830,2,"passage, road"
19990831,2,"passage, road"
19990832,2,"passage, road"
19990833,2,"passage, road"
19990834,2,"passage, road"
19990835,2,"passage, road"
19990836,2,"passage, road"
19990837,2,"passage, road"
19990838,2,"passage, road"
19990839,2,"passage, road"
19990840,2,"passage, road"
19990841,2,"passage, road"
19990842,2,"passage, road"
19990843,2,"passage, road"
19990844,2,"passage, road"
19990845,2,"passage, road"
