PROJNUM,ActivityType
19971072,Fish Passage
19971073,Fish Passage
19971074,Fish Passage
19971075,Combined
19971076,Combined
19971077,Fish Passage
19971078,Fish Passage
19971079,Combined
19971080,Combined
19971081,Combined
19971082,Combined
19971083,Combined
19971084,Instream
19971085,Combined
19971086,Combined
19971087,Combined
19971088,Combined
19971089,Instream
19971090,Instream
19971091,Combined
19971092,Combined
19971093,Instream
19971094,Combined
19971097,Combined
19971100,Combined
19971101,Combined
19971102,Combined
19971103,Combined
19971104,Fish Passage
19971105,Instream
19971106,Instream
19971107,Instream
19971108,Combined
19971109,Instream
19971110,Combined
19971111,Fish Passage
19971112,Combined
19971113,Fish Passage
19971114,Combined
19971115,Riparian
19971116,Riparian
19971117,Riparian
19971118,Riparian
19971119,Riparian
19971120,Combined
19971121,Riparian
19971122,Riparian
19971123,Combined
19971124,Riparian
19971125,Combined
19971126,Instream
19971127,Combined
19971128,Combined
19971129,Combined
19971130,Riparian
19971131,Riparian
19971132,Riparian
19971133,Riparian
19971134,Riparian
19971135,Instream
19971136,Riparian
19971137,Fish Passage
19971138,Riparian
19971139,Riparian
19971140,Riparian
19971141,Riparian
19971142,Riparian
19971143,Riparian
19971144,Riparian
19971145,Combined
19971146,Combined
19971147,Combined
19971148,Combined
19971149,Riparian
19971150,Riparian
19971151,Riparian
19971152,Riparian
19971153,Combined
19971154,Riparian
19971155,Riparian
19971156,Combined
19971157,Combined
19971159,Riparian
19971160,Riparian
19971161,Riparian
19971162,Riparian
19971163,Combined
19971164,Riparian
19971165,Combined
19971166,Fish Passage
19971168,Combined
19971169,Combined
19971172,Instream
19971173,Fish Passage
19971174,Riparian
19971175,Upland
19971176,Road
19971177,Fish Passage
19971178,Instream
19971180,Combined
19971181,Road
19971182,Combined
19971183,Combined
19971184,Combined
19971186,Combined
19971187,Road
19971188,Fish Passage
19971189,Fish Passage
19971190,Fish Passage
19971191,Instream
19971192,Riparian
19971193,Instream
19971193,Riparian
19971194,Instream
19971194,Riparian
19971195,Instream
19971195,Fish Passage
19971196,Instream
19971196,Riparian
19971197,Combined
19971198,Combined
19971199,Road
19971201,Combined
19971202,Instream
19971203,Fish Passage
19971204,Fish Passage
19971205,Instream
19971206,Instream
19971207,Fish Passage
19971208,Fish Passage
19971209,Instream
19971210,Instream
19971211,Instream
19971212,Instream
19971213,Instream
19971214,Instream
19971215,Instream
19971218,Combined
