PROJNUM,NameType
19970080,"['swcd (Soil & Water Conservation District)', 'private landowner (private non-industrial landowner)', 'nestucca watershed council (watershed council)', 'nrcs (federal agency or jobs program (or ownership))']"
19970081,"['private landowner (private non-industrial landowner)', 'nrcs (federal agency or jobs program (or ownership))', 'swcd (Soil & Water Conservation District)', 'nestucca watershed council (watershed council)']"
19970087,"['swcd (Soil & Water Conservation District)', 'nestucca watershed council (watershed council)', 'private landowner (private non-industrial landowner)', 'nrcs (federal agency or jobs program (or ownership))']"
19970088,"['private landowner (private non-industrial landowner)', 'deq (state agency/university or jobs program (or ownership))', 'nrcs (federal agency or jobs program (or ownership))', 'nestucca watershed council (watershed council)']"
19970089,"['odfw (state agency/university or jobs program (or ownership))', 'lower rogue watershed council (watershed council)', 'step program (volunteer)', 'nrcs (federal agency or jobs program (or ownership))', 'oweb (state agency/university or jobs program (or ownership))', 'private landowner (private non-industrial landowner)']"
19970090,"['odot (state agency/university or jobs program (or ownership))', 'boy scouts of america (volunteer)', 'not reported (state agency/university or jobs program (or ownership))', 'odfw (state agency/university or jobs program (or ownership))', 'oregon youth conservation corps (local organization or jobs program (e.g. grassroots, local focus))', 'port of gold beach (city)', 'private landowner neighbor contributor (private non-industrial landowner)']"
19970091,"['odfw (state agency/university or jobs program (or ownership))', 'private landowner (private non-industrial landowner)', 'boy scouts of america (volunteer)', 'oregon south coast fishermen (sporting group)', 'odot (state agency/university or jobs program (or ownership))', 'port of gold beach (city)']"
19970092,"['oregon south coast fishermen (sporting group)', 'private landowner (private non-industrial landowner)', 'odfw (state agency/university or jobs program (or ownership))']"
19970093,"['each project participant has another record this record lists multiple funding sources with that could not be separated out (several participants, but funding not separated)', 'city of brookings (city)', 'oregon south coast fishermen (sporting group)', 'private landowner neighbor contributor (private non-industrial landowner)', 'nrcs (federal agency or jobs program (or ownership))', 'city of brookings (city)', 'chetco watershed council (watershed council)', 'nrcs (federal agency or jobs program (or ownership))', 'odfw (state agency/university or jobs program (or ownership))', 'osu extension service (Extension Service (e.g. OSU Extension))']"
19970094,"['usfws (federal agency or jobs program (or ownership))', 'midcoast watersheds council (watershed council)', 'nrcs (federal agency or jobs program (or ownership))', 'lincoln swcd (Soil & Water Conservation District)', 'private landowner (private non-industrial landowner)', 'community services consortium (local organization or jobs program (e.g. grassroots, local focus))']"
19970095,"['lincoln swcd (Soil & Water Conservation District)', 'community services consortium (local organization or jobs program (e.g. grassroots, local focus))', 'nrcs (federal agency or jobs program (or ownership))', 'usfws (federal agency or jobs program (or ownership))', 'private landowner (private non-industrial landowner)', 'midcoast watersheds council (watershed council)']"
19970096,"['private landowner (private non-industrial landowner)', 'nrcs (federal agency or jobs program (or ownership))', 'lincoln swcd (Soil & Water Conservation District)', 'midcoast watersheds council (watershed council)']"
