PROJNUM,GrantNum
19970525,
19970526,
19970527,
19970528,
19970529,
19970529,
19970531,
19970532,
19970532,
19970534,
19970534,
19970535,
19970535,
19970535,
19970535,
19970535,
19970535,
19970536,
19970536,
19970536,
19970536,
19970536,
19970536,
19970538,
19970538,
19970538,
19970538,
19970538,
19970538,
19970544,
19970544,
19970544,
19970545,
19970545,
19970545,
19970547,
19970547,
19970549,
19970549,
19970550,
19970550,
19970552,
19970552,
19970553,
19970553,
19970553,
19970554,
19970554,
19970554,
19970556,
19970556,
19970556,
19970556,
19970556,
19970557,
19970557,
19970557,
19970557,
19970557,
19970561,
19970561,
19970561,GR-005
19970561,
19970562,
19970562,?-?
19970562,
19970562,
19970562,
19970562,
19970563,
19970563,
19970563,094-044
19970564,
19970564,
19970564,
19970564,
19970565,
19970565,
19970566,
19970566,
19970566,
19970569,
19970569,
19970570,
19970570,
19970570,
19970571,
19970571,
19970572,
19970572,
19970572,
19970573,
19970573,
19970575,
19970575,
19970575,
19970577,
19970577,
19970577,
19970577,
19970577,
19970578,
19970578,
19970578,
19970578,
19970581,
19970581,
19970581,
19970582,
19970582,
19970582,
19970583,
19970583,
19970584,
19970584,
19970607,SC-007
19970607,
19970607,
19970607,
19970607,
19970608,SC-007
19970608,
19970608,
19970608,
19970609,
19970609,
19970609,
19970609,
19970609,
19970609,
19970617,
19970617,
19970617,
19970620,
19970620,
19970620,
19970621,
19970621,
19970621,
19970623,
19970623,
19970623,
19970623,
19970624,
19970624,
19970624,
19970624,
19970624,
19970624,
19970625,
19970625,GR-50A
19970625,
19970625,
19970629,
19970629,
19970630,
19970630,
19970631,
19970631,
19970632,
19970632,
19970633,
19970633,
19970634,
19970634,
19970635,
19970635,
19970636,
19970636,
19970637,
19970638,
19970639,
19970640,
19970641,
19970642,
19970642,
19970643,
19970644,
19970644,
19970645,
19970645,
19970646,
19970646,
19970646,
19970647,
19970647,
19970648,
19970648,
19970648,
19970649,
19970649,
19970649,
19970650,
19970650,
19970650,
19970651,
19970651,
19970651,
19970653,
19970653,
19970654,
19970654,
19970655,
19970655,
19970656,
19970656,
19970657,
19970657,
19970657,
19970658,
19970658,
19970658,
19970658,
19970658,
19970658,
19970659,
19970659,
19970659,
19970659,
19970659,
19970659,097-095
19970659,
19970661,
19970661,
19970661,
19970661,
19970661,
19970661,
19970662,
19970662,
19970662,
19970662,
19970662,
19970662,
19970663,
19970663,
19970663,
19970663,
19970663,
19970663,
19970663,
19970663,
19970665,
19970665,
19970665,
19970665,
19970666,
19970666,
19970667,
19970667,
19970668,
19970668,
19970669,
19970669,
19970670,
19970670,
19970671,
19970671,
19970672,
19970672,
19970674,
19970674,
19970675,
19970675,
19970676,
19970676,
19970676,
19970677,
19970677,
19970678,
19970678,
19970679,
19970679,
19970680,
19970680,
19970681,
19970681,
19970682,
19970682,
19970683,
19970683,
19970684,
19970684,
19970685,
19970685,
19970686,
19970686,
19970687,
19970687,
19970688,
19970688,
19970689,
19970689,
19970689,
19970690,
19970691,
19970692,
19970693,
19970694,
19970695,
19970696,
19970697,
19970698,
19970699,
19970700,
19970701,
19970702,
19970702,
19970703,
19970703,
19970703,
19970704,
19970704,
19970704,
19970704,
